,Name,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Average_Flux_of_Entire_Source_(0.2-5_MeV),Start_Time_(MJD)
447,4FGL J0841.3+7053,0.0018998892871979,0.001074844492518,57927.50001157408
448,4FGL J0841.3+7053,0.0014872084174377,0.001074844492518,58001.00001157408
449,4FGL J0841.3+7053,0.0015456066537245,0.001074844492518,58130.50001157408
450,4FGL J0841.3+7053,0.0012263629620232,0.001074844492518,58340.50001157408
451,4FGL J0841.3+7053,0.0014612536457547,0.001074844492518,58389.50001157408
452,4FGL J0841.3+7053,0.0017441606570997,0.001074844492518,58515.50001157408
453,4FGL J0841.3+7053,0.0023073792026215,0.001074844492518,59978.50001157408
454,4FGL J0530.9+1332,0.0005290579032643,0.000370568636447,54683.00001157408
455,4FGL J0530.9+1332,0.0004548173150671,0.000370568636447,55533.50001157408
456,4FGL J0530.9+1332,0.0005197284480833,0.000370568636447,55757.50001157408
457,4FGL J0530.9+1332,0.0005342314811875,0.000370568636447,55887.00001157408
458,4FGL J0530.9+1332,0.0004444401727998,0.000370568636447,56016.50001157408
459,4FGL J0530.9+1332,0.0005077042354219,0.000370568636447,58771.00001157408
460,4FGL J0403.9-3605,0.0005095703253514,0.0002756507689881,54910.50001157408
461,4FGL J0403.9-3605,0.0004395603496601,0.0002756507689881,54994.50001157408
462,4FGL J0403.9-3605,0.0005824574233314,0.0002756507689881,55211.50001157408
463,4FGL J0403.9-3605,0.0003373943013305,0.0002756507689881,55351.50001157408
464,4FGL J0403.9-3605,0.0018272923335688,0.0002756507689881,55806.50001157408
465,4FGL J0403.9-3605,0.0006534264397856,0.0002756507689881,55925.50001157408
466,4FGL J0403.9-3605,0.0003158440912466,0.0002756507689881,55946.50001157408
467,4FGL J0403.9-3605,0.000537062827221,0.0002756507689881,55967.50001157408
468,4FGL J0403.9-3605,0.0002555364112733,0.0002756507689881,56079.50001157408
469,4FGL J0403.9-3605,0.0004484657281726,0.0002756507689881,56856.50001157408
470,4FGL J0403.9-3605,0.0006224402894225,0.0002756507689881,56961.50001157408
471,4FGL J0403.9-3605,0.0003471727561679,0.0002756507689881,58592.50001157408
472,4FGL J0403.9-3605,0.0002921877524286,0.0002756507689881,59040.50001157408
473,4FGL J0403.9-3605,0.000398844709999,0.0002756507689881,59208.50001157408
474,4FGL J0403.9-3605,0.0003020339042609,0.0002756507689881,59859.50001157408
475,4FGL J0403.9-3605,0.0009707090921766,0.0002756507689881,59908.50001157408
476,4FGL J0403.9-3605,0.000523156736159,0.0002756507689881,60279.50001157408
477,4FGL J2327.5+0939,0.0010728340612456,0.0005725475199485,54721.50001157408
478,4FGL J2327.5+0939,0.001533503442011,0.0005725475199485,54742.50001157408
479,4FGL J2327.5+0939,0.0008900503445285,0.0005725475199485,54847.50001157408
480,4FGL J2327.5+0939,0.0005755697119776,0.0005725475199485,56391.00001157408
481,4FGL J2327.5+0939,0.0006500979619629,0.0005725475199485,56793.50001157408
482,4FGL J2327.5+0939,0.0010045507570593,0.0005725475199485,57245.00001157408
483,4FGL J2327.5+0939,0.0017313748538834,0.0005725475199485,59684.50001157408
484,4FGL J2327.5+0939,0.0009058800574782,0.0005725475199485,60293.50001157408
485,4FGL J2151.8-3027,0.002887622906055,0.00145579762015,55047.00001157408
486,4FGL J2151.8-3027,0.0033296218617781,0.00145579762015,55554.50001157408
487,4FGL J2151.8-3027,0.0020011331236774,0.00145579762015,55960.50001157408
488,4FGL J2151.8-3027,0.0034066287118477,0.00145579762015,56097.00001157408
489,4FGL J2151.8-3027,0.0034275282744971,0.00145579762015,56121.50001157408
490,4FGL J2151.8-3027,0.0039742418338023,0.00145579762015,56265.00001157408
491,4FGL J2151.8-3027,0.0025079475179247,0.00145579762015,56583.50001157408
492,4FGL J2151.8-3027,0.0018520713471563,0.00145579762015,56653.50001157408
493,4FGL J2151.8-3027,0.0034693273997958,0.00145579762015,60262.00001157408
494,4FGL J2151.8-3027,0.003364829586549,0.00145579762015,60279.50001157408
495,4FGL J1332.0-0509,0.0005723956554528,0.0003093105967455,54742.50001157408
496,4FGL J1332.0-0509,0.0004310235989572,0.0003093105967455,54812.50001157408
497,4FGL J1332.0-0509,0.0004741259588529,0.0003093105967455,54903.50001157408
498,4FGL J1332.0-0509,0.000354581379484,0.0003093105967455,54987.50001157408
499,4FGL J1332.0-0509,0.0004967178581743,0.0003093105967455,55085.50001157408
500,4FGL J1332.0-0509,0.0005419108667231,0.0003093105967455,55309.50001157408
501,4FGL J1332.0-0509,0.0006504035589393,0.0003093105967455,55400.50001157408
502,4FGL J1332.0-0509,0.0013631121317022,0.0003093105967455,55435.50001157408
503,4FGL J1332.0-0509,0.000703084221034,0.0003093105967455,56489.00001157408
504,4FGL J1332.0-0509,0.000510597186457,0.0003093105967455,56590.50001157408
505,4FGL J1332.0-0509,0.0003445315300998,0.0003093105967455,58025.50001157408
506,4FGL J1332.0-0509,0.0010799535729428,0.0003093105967455,59383.50001157408
507,4FGL J1332.0-0509,0.0005561862209621,0.0003093105967455,59432.50001157408
508,4FGL J1159.5+2914,0.0008731853283747,0.0006014755200198,55358.50001157408
509,4FGL J1159.5+2914,0.0010318151981042,0.0006014755200198,55414.50001157408
510,4FGL J1159.5+2914,0.0007479037835315,0.0006014755200198,55533.50001157408
511,4FGL J1159.5+2914,0.0006446141069917,0.0006014755200198,56093.50001157408
512,4FGL J1159.5+2914,0.0005818832039623,0.0006014755200198,57129.50001157408
513,4FGL J1159.5+2914,0.0010808462487478,0.0006014755200198,57332.50001157408
514,4FGL J1159.5+2914,0.0008674169694754,0.0006014755200198,57374.50001157408
515,4FGL J1159.5+2914,0.0006402878378172,0.0006014755200198,57402.50001157408
516,4FGL J1159.5+2914,0.0006366826135052,0.0006014755200198,57437.50001157408
517,4FGL J1159.5+2914,0.000799278229978,0.0006014755200198,57738.50001157408
518,4FGL J1159.5+2914,0.0009150059303943,0.0006014755200198,57878.50001157408
519,4FGL J1159.5+2914,0.0014438923369697,0.0006014755200198,57941.50001157408
520,4FGL J1159.5+2914,0.0013947128359132,0.0006014755200198,58018.50001157408
521,4FGL J1159.5+2914,0.0008803957769987,0.0006014755200198,58326.50001157408
522,4FGL J1159.5+2914,0.0007664706887384,0.0006014755200198,59222.50001157408
523,4FGL J1159.5+2914,0.0015524095887619,0.0006014755200198,59292.50001157408
524,4FGL J1159.5+2914,0.0012079241898431,0.0006014755200198,59453.50001157408
525,4FGL J1159.5+2914,0.0011161774470058,0.0006014755200198,59684.50001157408
526,4FGL J1159.5+2914,0.0017225040718037,0.0006014755200198,59789.50001157408
527,4FGL J1159.5+2914,0.0007478265287248,0.0006014755200198,60090.50001157408
528,4FGL J1159.5+2914,0.0007333026250677,0.0006014755200198,60188.50001157408
529,4FGL J1159.5+2914,0.0009121938554309,0.0006014755200198,60342.50001157408
530,4FGL J1159.5+2914,0.0012615007615472,0.0006014755200198,60419.50001157408
