,Unnamed: 0.1,Unnamed: 0,Name,Class,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Photon_Fluence_(ph/cm2)_(0.2-5_MeV),Source_Counts(ph)_(0.2-5_MeV),Background_Counts,Duration_(s),Start_Time_(MJD),Coverage,MDP99_(%),Asymmetry,Average_Flux_of_Entire_Source_(0.2-5_MeV),Peak_Flare_Flux_(0.2-5_MeV)
82,82,82,4FGL J0030.6-0212,BCU,3.224906767217295e-06,3.90084722562604,46.10711431609364,6048000.0,1209600.0,56604.50001157408,0.0023255813953488,76273.845371919,0.0,1.8390179706015269e-06,3.337522559088375e-06
83,83,83,4FGL J0030.6-0212,BCU,2.304764870558764e-06,125.4529614342546,1482.8250632690074,272160000.0,54432000.0,56653.50001157408,0.1046511627906976,15909.606957892032,0.3555555555555555,1.8390179706015269e-06,6.245057549214444e-06
84,84,84,4FGL J0030.6-0212,BCU,1.935772834556268e-06,128.78309513735942,1522.1864754074402,332640000.0,66528000.0,57367.50001157408,0.127906976744186,17133.9071152147,-0.9636363636363636,1.8390179706015269e-06,4.095119704402914e-06
85,85,85,4FGL J0030.6-0212,BCU,1.805711532735662e-06,71.53217894240362,845.4938532609048,198072000.0,39614400.0,58151.50001157408,0.0761627906976744,23803.34839557825,0.5038167938931297,1.8390179706015269e-06,4.647960864497308e-06
86,86,86,4FGL J0030.6-0212,BCU,2.395960036283736e-06,30.43060922883248,359.68278101354696,63504000.0,12700800.0,58683.50001157408,0.0244186046511627,31682.40641370445,0.9047619047619048,1.8390179706015269e-06,4.422729280755147e-06
87,87,87,4FGL J0030.6-0212,BCU,3.2032611344940224e-06,13.561326338993894,160.29174884937828,21168000.0,4233600.0,58991.50001157408,0.0081395348837209,41045.58293322954,-0.5714285714285714,1.8390179706015269e-06,6.429337935912575e-06
88,88,88,4FGL J0030.6-0212,BCU,2.440896099809357e-06,16.23879357281169,191.938793885196,33264000.0,6652800.0,59131.50001157408,0.0127906976744186,42969.64492924175,0.0,1.8390179706015269e-06,3.5422785443085208e-06
89,89,89,4FGL J0030.6-0212,BCU,3.0572993678870903e-06,16.64149191928301,196.69859544155543,27216000.0,5443200.0,59285.50001157408,0.0104651162790697,37927.00039676068,0.0,1.8390179706015269e-06,5.139375229025658e-06
90,90,90,4FGL J0030.6-0212,BCU,1.8705336775511256e-06,71.83747177961547,849.1023441684029,192024000.0,38404800.0,59383.50001157408,0.0738372093023255,23337.52057544576,-0.968503937007874,1.8390179706015269e-06,3.644656536918594e-06
91,91,91,4FGL J0030.6-0212,BCU,1.5098706350133546e-06,8.218527840504692,97.14110313339272,27216000.0,5443200.0,59901.50001157408,0.0104651162790697,76797.29611805803,0.0,1.8390179706015269e-06,2.1704134433335444e-06
92,92,92,4FGL J0030.6-0212,BCU,1.5280939176979474e-06,41.58860406406734,491.5677059157241,136080000.0,27216000.0,59992.50001157408,0.0523255813953488,33935.21683065179,0.0,1.8390179706015269e-06,3.4194249531764336e-06
93,93,93,4FGL J0032.3-5522,BCU,1.465846791373981e-07,4.033775834374576,41.01720557390682,137592000.0,27518400.0,55197.50001157408,0.0548192771084337,408946.6214502484,-0.2307692307692307,9.706073186631696e-08,4.346120419614113e-07
95,95,95,4FGL J0035.2+1514,BLL,7.429932278810115e-09,0.489804911602455,4.67539699065664,329616000.0,65923200.0,56268.50001157408,0.1255760368663594,5552923.493819053,0.0,4.6783294292412786e-09,1.6796488509991788e-08
96,96,96,4FGL J0035.2+1514,BLL,5.005660828816151e-09,0.7962124250174861,7.6001875188862895,795312000.0,159062400.0,57360.50001157408,0.3029953917050691,5306161.931277853,-0.8631178707224335,4.6783294292412786e-09,1.860586633728765e-08
97,97,97,4FGL J0035.9+5950,BLL,8.725647874473451e-08,3.1135903823441105,35.96284646892915,178416000.0,35683200.0,56699.00001157408,0.0669693530079455,531127.662913605,0.0,1.2976772918414697e-07,3.693218604113436e-07
98,98,98,4FGL J0035.9+5950,BLL,1.0282698113557936e-05,118.16054056251694,1364.7875465674642,57456000.0,11491200.0,60587.50001157408,0.021566401816118,7942.255212223694,0.0,1.2976772918414697e-07,1.0282698113557936e-05
99,99,99,4FGL J0036.9+1832,BCU,6.618525593942757e-06,834.6013722166568,10694.02863385538,630504000.0,126100800.0,54816.00001157408,0.2410404624277456,3357.70317188642,0.9904076738609112,6.080331929129187e-06,1.6978230106910586e-05
100,100,100,4FGL J0037.8+1239,BLL,7.155649296244637e-05,1406.514425669846,19033.344090058206,98280000.0,19656000.0,55659.50001157408,0.0369318181818181,744.8958625480302,0.0,6.69281910882773e-05,0.0001043623928129
101,101,101,4FGL J0037.8+1239,BLL,0.0001039880973112,10534.410210021104,142554.56656099667,506520000.0,101304000.0,55939.50001157408,0.1903409090909091,225.79499327178584,0.0,6.69281910882773e-05,0.0002190729553773
102,102,102,4FGL J0037.8+1239,BLL,9.857182122857612e-05,2623.114449077885,35496.71370993975,133056000.0,26611200.0,59908.50001157408,0.05,464.7539013430181,0.0,6.69281910882773e-05,0.0001288016873324
103,103,103,4FGL J0038.2-2459,FSRQ,1.918517046954584e-06,16.24446753997385,195.27719183503143,42336000.0,8467200.0,57717.50001157408,0.0159090909090909,47647.53406238511,0.0,2.3171770912686336e-06,2.956399197036744e-06
